Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Maize,36613,1485.0,121.0,16.37
Albania,Potatoes,66667,1485.0,121.0,16.37
Albania,"Rice, paddy",23333,1485.0,121.0,16.37
Albania,Sorghum,12500,1485.0,121.0,16.37
Albania,Soybeans,7000,1485.0,121.0,16.37
Albania,Wheat,30197,1485.0,121.0,16.37
Albania,Maize,29068,1485.0,121.0,15.36
Albania,Potatoes,77818,1485.0,121.0,15.36
Albania,"Rice, paddy",28538,1485.0,121.0,15.36
Albania,Sorghum,6667,1485.0,121.0,15.36
Albania,Soybeans,6066,1485.0,121.0,15.36
Albania,Wheat,20698,1485.0,121.0,15.36
Albania,Maize,24876,1485.0,121.0,16.06
Albania,Potatoes,82920,1485.0,121.0,16.06
Albania,"Rice, paddy",40000,1485.0,121.0,16.06
Albania,Sorghum,3747,1485.0,121.0,16.06
Albania,Soybeans,4507,1485.0,121.0,16.06
Albania,Wheat,24388,1485.0,121.0,16.06
Albania,Maize,24185,1485.0,121.0,16.05
Albania,Potatoes,98446,1485.0,121.0,16.05
Albania,"Rice, paddy",41786,1485.0,121.0,16.05
Albania,Soybeans,7998,1485.0,121.0,16.05
Albania,Wheat,29976,1485.0,121.0,16.05
Albania,Maize,25848,1485.0,201.0,16.96
Albania,Potatoes,81404,1485.0,201.0,16.96
Albania,Soybeans,7927,1485.0,201.0,16.96
Albania,Wheat,24745,1485.0,201.0,16.96
Albania,Maize,31300,1485.0,251.0,15.67
Albania,Potatoes,111323,1485.0,251.0,15.67
Albania,Soybeans,11791,1485.0,251.0,15.67
Albania,Wheat,28703,1485.0,251.0,15.67
Albania,Maize,32604,1485.0,313.96,15.64
Albania,Potatoes,106138,1485.0,313.96,15.64
Albania,Soybeans,15480,1485.0,313.96,15.64
Albania,Wheat,21741,1485.0,313.96,15.64
Albania,Maize,31862,1485.0,376.93,15.9
Albania,Potatoes,109874,1485.0,376.93,15.9
Albania,Soybeans,12768,1485.0,376.93,15.9
Albania,Wheat,28516,1485.0,376.93,15.9
Albania,Maize,33416,1485.0,439.89,16.27
Albania,Potatoes,127212,1485.0,439.89,16.27
Albania,Soybeans,14327,1485.0,439.89,16.27
Albania,Wheat,28037,1485.0,439.89,16.27
Albania,Maize,37455,1485.0,502.86,16.57
Albania,Potatoes,142018,1485.0,502.86,16.57
Albania,Soybeans,17143,1485.0,502.86,16.57
Albania,Wheat,24954,1485.0,502.86,16.57
Albania,Maize,38811,1485.0,565.82,16.67
Albania,Potatoes,141228,1485.0,565.82,16.67
Albania,Soybeans,15000,1485.0,565.82,16.67
Albania,Wheat,30455,1485.0,565.82,16.67
Albania,Maize,38135,1485.0,628.79,16.59
Albania,Potatoes,148818,1485.0,628.79,16.59
Albania,Soybeans,20000,1485.0,628.79,16.59
Albania,Wheat,28220,1485.0,628.79,16.59
Albania,Maize,39460,1485.0,691.75,16.47
Albania,Potatoes,153868,1485.0,691.75,16.47
Albania,Soybeans,20000,1485.0,691.75,16.47
Albania,Wheat,31617,1485.0,691.75,16.47
Albania,Maize,46197,1485.0,817.68,16.16
Albania,Potatoes,149346,1485.0,817.68,16.16
Albania,Soybeans,13333,1485.0,817.68,16.16
Albania,Wheat,31130,1485.0,817.68,16.16
Albania,Maize,45442,1485.0,880.64,15.67
Albania,Potatoes,167061,1485.0,880.64,15.67
Albania,Soybeans,17500,1485.0,880.64,15.67
Albania,Wheat,31582,1485.0,880.64,15.67
Albania,Maize,50111,1485.0,943.61,15.92
Albania,Potatoes,170745,1485.0,943.61,15.92
Albania,Soybeans,20000,1485.0,943.61,15.92
Albania,Wheat,30787,1485.0,943.61,15.92
Albania,Maize,46732,1485.0,1006.57,16.67
Albania,Potatoes,188902,1485.0,1006.57,16.67
Albania,Soybeans,20000,1485.0,1006.57,16.67
Albania,Wheat,35496,1485.0,1006.57,16.67
Albania,Maize,50000,1485.0,1069.54,16.71
Albania,Potatoes,193878,1485.0,1069.54,16.71
Albania,Soybeans,20000,1485.0,1069.54,16.71
Albania,Wheat,40168,1485.0,1069.54,16.71
Albania,Maize,55693,1485.0,1132.5,16.73
Albania,Potatoes,219780,1485.0,1132.5,16.73
Albania,Soybeans,16667,1485.0,1132.5,16.73
Albania,Wheat,40229,1485.0,1132.5,16.73
Albania,Maize,66790,1485.0,1311.17,16.52
Albania,Potatoes,231111,1485.0,1311.17,16.52
Albania,Soybeans,16667,1485.0,1311.17,16.52
Albania,Wheat,39905,1485.0,1311.17,16.52
Albania,Maize,59869,1485.0,1302.63,16.45
Albania,Potatoes,242211,1485.0,1302.63,16.45
Albania,Soybeans,18519,1485.0,1302.63,16.45
Albania,Wheat,42301,1485.0,1302.63,16.45
Albania,Maize,67290,1485.0,766.25,16.7
Albania,Potatoes,250538,1485.0,766.25,16.7
Albania,Soybeans,13333,1485.0,766.25,16.7
Albania,Wheat,41096,1485.0,766.25,16.7
Albania,Maize,69533,1485.0,982.32,17.41
Albania,Potatoes,260110,1485.0,982.32,17.41
Albania,Soybeans,10000,1485.0,982.32,17.41
Albania,Wheat,41292,1485.0,982.32,17.41
Algeria,Maize,16500,89.0,1828.92,17.48
Algeria,Potatoes,78936,89.0,1828.92,17.48
Algeria,"Rice, paddy",28000,89.0,1828.92,17.48
Algeria,Sorghum,16571,89.0,1828.92,17.48
Algeria,Wheat,6315,89.0,1828.92,17.48
Algeria,Maize,19231,89.0,2461.8,16.26
Algeria,Potatoes,90747,89.0,2461.8,16.26
Algeria,"Rice, paddy",26786,89.0,2461.8,16.26
Algeria,Sorghum,24231,89.0,2461.8,16.26
Algeria,Wheat,10809,89.0,2461.8,16.26
Algeria,Maize,22828,89.0,1215.47,16.27
Algeria,Potatoes,107917,89.0,1215.47,16.27
Algeria,"Rice, paddy",24733,89.0,1215.47,16.27
Algeria,Sorghum,40000,89.0,1215.47,16.27
Algeria,Wheat,9939,89.0,1215.47,16.27
Algeria,Maize,12500,89.0,1021.89,17.0
Algeria,Potatoes,111215,89.0,1021.89,17.0
Algeria,"Rice, paddy",23111,89.0,1021.89,17.0
Algeria,Sorghum,50000,89.0,1021.89,17.0
Algeria,Wheat,8097,89.0,1021.89,17.0
Algeria,Maize,4512,89.0,1255.02,17.88
Algeria,Potatoes,95078,89.0,1255.02,17.88
Algeria,"Rice, paddy",21374,89.0,1255.02,17.88
Algeria,Wheat,7999,89.0,1255.02,17.88
Algeria,Maize,16115,89.0,2697.09,17.36
Algeria,Potatoes,136768,89.0,2697.09,17.36
Algeria,"Rice, paddy",19598,89.0,2697.09,17.36
Algeria,Sorghum,12667,89.0,2697.09,17.36
Algeria,Wheat,8924,89.0,2697.09,17.36
Algeria,Maize,17154,89.0,479.77,16.76
Algeria,Potatoes,134629,89.0,479.77,16.76
Algeria,"Rice, paddy",17861,89.0,479.77,16.76
Algeria,Sorghum,14750,89.0,479.77,16.76
Algeria,Wheat,13090,89.0,479.77,16.76
Algeria,Maize,21417,89.0,401.22,17.84
Algeria,Potatoes,141042,89.0,401.22,17.84
Algeria,"Rice, paddy",15000,89.0,401.22,17.84
Algeria,Sorghum,40000,89.0,401.22,17.84
Algeria,Wheat,8016,89.0,401.22,17.84
Algeria,Maize,17222,89.0,322.84,17.14
Algeria,Potatoes,160256,89.0,322.84,17.14
Algeria,"Rice, paddy",15000,89.0,322.84,17.14
Algeria,Sorghum,24500,89.0,322.84,17.14
Algeria,Wheat,8847,89.0,322.84,17.14
Algeria,Maize,22375,89.0,654.45,17.97
Algeria,Potatoes,153532,89.0,654.45,17.97
Algeria,"Rice, paddy",13942,89.0,654.45,17.97
Algeria,Sorghum,27000,89.0,654.45,17.97
Algeria,Wheat,10711,89.0,654.45,17.97
Algeria,Maize,36186,89.0,603.67,17.9
Algeria,Potatoes,166143,89.0,603.67,17.9
Algeria,"Rice, paddy",13052,89.0,603.67,17.9
Algeria,Sorghum,69500,89.0,603.67,17.9
Algeria,Wheat,9194,89.0,603.67,17.9
Algeria,Maize,27175,89.0,710.11,18.13
Algeria,Potatoes,147018,89.0,710.11,18.13
Algeria,"Rice, paddy",12314,89.0,710.11,18.13
Algeria,Sorghum,27750,89.0,710.11,18.13
Algeria,Wheat,11104,89.0,710.11,18.13
Algeria,Maize,33480,89.0,816.55,17.85
Algeria,Potatoes,183774,89.0,816.55,17.85
Algeria,"Rice, paddy",12959,89.0,816.55,17.85
Algeria,Sorghum,33900,89.0,816.55,17.85
Algeria,Wheat,10739,89.0,816.55,17.85
Algeria,Maize,31729,89.0,3747.86,17.38
Algeria,Potatoes,203585,89.0,3747.86,17.38
Algeria,"Rice, paddy",12829,89.0,3747.86,17.38
Algeria,Sorghum,43316,89.0,3747.86,17.38
Algeria,Wheat,13582,89.0,3747.86,17.38
Algeria,Maize,33864,89.0,3662.87,17.19
Algeria,Potatoes,216267,89.0,3662.87,17.19
Algeria,"Rice, paddy",12998,89.0,3662.87,17.19
Algeria,Sorghum,33486,89.0,3662.87,17.19
Algeria,Wheat,15057,89.0,3662.87,17.19
Algeria,Maize,65668,89.0,4110.72,18.13
Algeria,Potatoes,220689,89.0,4110.72,18.13
Algeria,"Rice, paddy",12769,89.0,4110.72,18.13
Algeria,Sorghum,56728,89.0,4110.72,18.13
Algeria,Wheat,15068,89.0,4110.72,18.13
Algeria,Maize,85625,89.0,5390.79,17.42
Algeria,Potatoes,189927,89.0,5390.79,17.42
Algeria,"Rice, paddy",13375,89.0,5390.79,17.42
Algeria,Sorghum,119059,89.0,5390.79,17.42
Algeria,Wheat,12742,89.0,5390.79,17.42
Algeria,Maize,44714,89.0,11556.12,17.55
Algeria,Potatoes,236393,89.0,11556.12,17.55
Algeria,"Rice, paddy",13952,89.0,11556.12,17.55
Algeria,Sorghum,61786,89.0,11556.12,17.55
Algeria,Wheat,11038,89.0,11556.12,17.55
Algeria,Maize,30914,89.0,3867.99,17.78
Algeria,Potatoes,250764,89.0,3867.99,17.78
Algeria,"Rice, paddy",14594,89.0,3867.99,17.78
Algeria,Sorghum,90465,89.0,3867.99,17.78
Algeria,Wheat,15975,89.0,3867.99,17.78
Algeria,Maize,25827,89.0,1295.88,17.59
Algeria,Potatoes,270526,89.0,1295.88,17.59
Algeria,"Rice, paddy",15305,89.0,1295.88,17.59
Algeria,Sorghum,30286,89.0,1295.88,17.59
Algeria,Wheat,14838,89.0,1295.88,17.59
Algeria,Maize,23374,89.0,13861.76,17.79
Algeria,Potatoes,292806,89.0,13861.76,17.79
Algeria,"Rice, paddy",16081,89.0,13861.76,17.79
Algeria,Sorghum,100000,89.0,13861.76,17.79
Algeria,Wheat,17405,89.0,13861.76,17.79
